,xint,rate
609727.0,-12860.400000002948,6.700000000001502
609728.0,157883.1999999564,-77.69999999997836
609729.0,166832.19999994757,-81.69999999997398
609730.0,-172828.79999995578,86.39999999997809
609732.0,163680.79999996093,-80.39999999998062
609733.0,154969.19999996352,-76.59999999998189
609734.0,-141271.99999998498,71.69999999999266
609735.0,76095.79999998817,-37.59999999999413
609736.0,,
609737.0,-13847.999999999185,7.699999999999648
609738.0,87227.99999998615,-42.199999999993025
609739.0,56292.19999997999,-27.199999999990013
609740.0,81732.99999997925,-40.29999999998968
609741.0,-24112.799999988696,12.799999999994498
609743.0,,
609744.0,26660.399999993664,-13.09999999999684
609745.0,-9052.599999998478,4.599999999999255
609746.0,69467.39999998291,-33.599999999991496
609748.0,19261.599999993807,-9.399999999996922
