School ID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609723,John Marshall Metropolitan High School,"1,205",1,"1,197",0,0,7,Nan,Nan,Nan,Nan
609724,Stephen T Mather High School,"1,630",380,243,392,6,609,Nan,Nan,Nan,Nan
609725,Morgan Park High School,"1,744",34,"1,671",1,1,37,Nan,Nan,Nan,Nan
609726,Gwendolyn Brooks College Preparatory Academy HS,744,12,629,3,2,98,Nan,Nan,Nan,Nan
609727,Wendell Phillips Academy High School,784,1,771,8,1,3,Nan,Nan,Nan,Nan
609728,Theodore Roosevelt High School,"1,559",124,169,133,3,"1,130",Nan,Nan,Nan,Nan
609729,Carl Schurz High School,"2,156",181,149,50,12,"1,764",Nan,Nan,Nan,Nan
609730,Nicholas Senn High School,"1,155",75,441,152,5,482,Nan,Nan,Nan,Nan
609732,Charles P Steinmetz Academic Centre High School,"1,910",220,399,29,3,"1,259",Nan,Nan,Nan,Nan
609733,Roger C Sullivan High School,774,50,442,48,0,234,Nan,Nan,Nan,Nan
609734,William Howard Taft High School,"2,605","1,428",94,215,12,856,Nan,Nan,Nan,Nan
609735,Edward Tilden Career Community Academy HS,899,39,625,24,1,210,Nan,Nan,Nan,Nan
609736,Dyett High School,569,0,568,0,0,1,Nan,Nan,Nan,Nan
609737,Frederick W von Steuben Metropolitan Science HS,"1,612",402,461,231,2,516,Nan,Nan,Nan,Nan
609738,Lincoln Park High School,"2,175",664,770,254,6,481,Nan,Nan,Nan,Nan
609739,George Washington High School,"1,460",98,303,1,3,"1,055",Nan,Nan,Nan,Nan
609740,Wells Community Academy High School,681,19,350,1,1,310,Nan,Nan,Nan,Nan
609741,Gurdon S Hubbard High School,"1,743",63,188,32,2,"1,458",Nan,Nan,Nan,Nan
609743,Phillips Achievement Academy High School,106,4,67,0,0,35,Nan,Nan,Nan,Nan
609744,Northside Learning Center High School,307,60,94,18,1,134,Nan,Nan,Nan,Nan
609745,Southside Occupational Academy High School,172,11,138,0,0,23,Nan,Nan,Nan,Nan
609746,Kenwood Academy High School,"1,676",45,"1,517",51,6,57,Nan,Nan,Nan,Nan
609748,Consuella B York Alternative High School,309,11,241,0,0,57,Nan,Nan,Nan,Nan
609749,Northside College Preparatory High School,"1,073",404,63,337,11,258,Nan,Nan,Nan,Nan
609750,Simpson Academy High School for Young Women,167,2,140,0,0,25,Nan,Nan,Nan,Nan
609751,Dr  Martin Luther King  Jr  College Prep HS,900,11,843,19,0,27,Nan,Nan,Nan,Nan
609753,Chicago High School for Agricultural Sciences,589,188,331,2,1,67,Nan,Nan,Nan,Nan
609754,Chicago Military Academy High School,514,14,357,3,2,138,Nan,Nan,Nan,Nan
