SchoolID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400098.00,NOBLE - MUCHIN HS,885.00,9.00,242.00,2.00,4.00,562.00,1.00,46.00,0.00,19.00
400101.00,UNO - CISNEROS,564.00,2.00,2.00,0.00,2.00,557.00,0.00,1.00,0.00,0.00
400102.00,URBAN PREP - WEST HS,342.00,0.00,337.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00
400104.00,INSTITUTO - HEALTH,769.00,6.00,30.00,0.00,1.00,732.00,0.00,0.00,0.00,0.00
400105.00,URBAN PREP - BRONZEVILLE HS,420.00,0.00,413.00,0.00,0.00,5.00,2.00,0.00,0.00,0.00
400106.00,NOBLE - JOHNSON HS,860.00,1.00,828.00,0.00,0.00,20.00,4.00,5.00,1.00,1.00
400107.00,LEARN - SOUTH CHICAGO,497.00,3.00,432.00,0.00,0.00,60.00,1.00,0.00,0.00,1.00
400108.00,CICS - HAWKINS HS,170.00,0.00,167.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
400109.00,PROLOGUE - JOHNSTON HS,190.00,0.00,189.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
400111.00,LEARN - PERKINS,495.00,0.00,486.00,0.00,0.00,6.00,1.00,0.00,0.00,2.00
400112.00,UNO - SOCCER ELEM,576.00,2.00,0.00,0.00,1.00,573.00,0.00,0.00,0.00,0.00
400113.00,CICS - CHICAGOQUEST HS,225.00,15.00,157.00,0.00,0.00,45.00,6.00,2.00,0.00,0.00
400114.00,UNO - SANTIAGO,282.00,4.00,8.00,0.00,0.00,265.00,0.00,0.00,1.00,4.00
400115.00,CATALYST - MARIA,1098.00,8.00,502.00,0.00,3.00,555.00,4.00,1.00,1.00,24.00
400116.00,MONTESSORI ENGLEWOOD,279.00,1.00,271.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00
400117.00,NOBLE - HANSBERRY HS,769.00,0.00,739.00,0.00,0.00,14.00,4.00,0.00,0.00,12.00
400118.00,NOBLE - DRW HS,618.00,3.00,558.00,0.00,0.00,49.00,1.00,1.00,0.00,6.00
400119.00,LEGAL PREP HS,290.00,0.00,288.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
400120.00,UNO - CLEMENTE,574.00,4.00,30.00,0.00,2.00,537.00,0.00,0.00,0.00,1.00
400121.00,UNO - ROGERS PARK,764.00,13.00,132.00,0.00,7.00,574.00,5.00,15.00,0.00,18.00
400123.00,YCCS - SCHOLASTIC ACHIEVEMENT,221.00,0.00,213.00,0.00,0.00,6.00,1.00,0.00,0.00,1.00
400124.00,YCCS - MCKINLEY,187.00,0.00,184.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
400125.00,YCCS - ASPIRA PANTOJA,195.00,5.00,5.00,0.00,1.00,183.00,0.00,0.00,0.00,1.00
400126.00,YCCS - ASSOCIATION HOUSE,152.00,2.00,50.00,0.00,0.00,97.00,3.00,0.00,0.00,0.00
400127.00,YCCS - AUSTIN CAREER,144.00,0.00,129.00,0.00,0.00,13.00,0.00,1.00,0.00,1.00
400128.00,YCCS - CCA ACADEMY,200.00,0.00,195.00,0.00,0.00,3.00,1.00,0.00,0.00,1.00
400129.00,YCCS - HOUSTON,151.00,0.00,150.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
400130.00,YCCS - YOUTH DEVELOPMENT,161.00,0.00,161.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400131.00,YCCS - CAMPOS,184.00,6.00,26.00,0.00,1.00,150.00,0.00,0.00,0.00,1.00
400133.00,YCCS - INNOVATIONS,400.00,5.00,348.00,0.00,1.00,38.00,5.00,2.00,0.00,1.00
400134.00,YCCS - ADDAMS,210.00,9.00,90.00,0.00,1.00,106.00,1.00,1.00,1.00,1.00
400135.00,YCCS - LATINO YOUTH,215.00,3.00,16.00,0.00,2.00,192.00,0.00,0.00,0.00,2.00
400136.00,YCCS - OLIVE HARVEY,158.00,0.00,140.00,0.00,1.00,13.00,2.00,0.00,0.00,2.00
400137.00,LITTLE BLACK PEARL HS,158.00,0.00,154.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00
400139.00,YCCS - SULLIVAN,333.00,0.00,317.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00
400141.00,YCCS - TRUMAN,210.00,13.00,70.00,2.00,2.00,111.00,1.00,7.00,2.00,2.00
400143.00,YCCS - WEST TOWN,175.00,1.00,141.00,0.00,0.00,26.00,0.00,0.00,0.00,7.00
400144.00,YCCS - WESTSIDE HOLISTIC,112.00,0.00,95.00,0.00,0.00,15.00,1.00,0.00,0.00,1.00
400145.00,YCCS - YOUTH CONNECTION,260.00,4.00,247.00,0.00,0.00,8.00,1.00,0.00,0.00,0.00
400146.00,KIPP CHICAGO - CREATE,319.00,0.00,311.00,0.00,0.00,7.00,1.00,0.00,0.00,0.00
400147.00,CAMELOT - CHICAGO EXCEL HS,263.00,3.00,251.00,0.00,0.00,8.00,1.00,0.00,0.00,0.00
400148.00,INSTITUTO - LOZANO HS,144.00,3.00,0.00,0.00,0.00,134.00,0.00,0.00,0.00,7.00
400149.00,UNO - SOCCER HS,677.00,3.00,7.00,0.00,1.00,665.00,0.00,1.00,0.00,0.00
400150.00,YCCS - CHATHAM,201.00,1.00,195.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
400151.00,LEARN - 7,353.00,0.00,338.00,0.00,0.00,9.00,2.00,1.00,0.00,3.00
400153.00,UNO - BRIGHTON PARK,566.00,2.00,3.00,0.00,0.00,559.00,2.00,0.00,0.00,0.00
400156.00,NOBLE - BUTLER HS,450.00,0.00,443.00,0.00,0.00,5.00,1.00,0.00,0.00,1.00
400157.00,NOBLE - BAKER HS,413.00,2.00,342.00,0.00,3.00,56.00,5.00,1.00,1.00,3.00
400159.00,CHRISTOPHER HOUSE,224.00,5.00,14.00,0.00,0.00,204.00,0.00,1.00,0.00,0.00
400161.00,CHICAGO COLLEGIATE,238.00,0.00,230.00,0.00,0.00,6.00,1.00,0.00,1.00,0.00
400162.00,INTRINSIC HS,827.00,51.00,55.00,0.00,3.00,693.00,5.00,20.00,0.00,0.00
400163.00,KIPP CHICAGO - BLOOM,257.00,0.00,250.00,0.00,0.00,3.00,3.00,0.00,0.00,1.00
400164.00,INSTITUTO - LOZANO MASTERY HS,49.00,1.00,2.00,0.00,0.00,46.00,0.00,0.00,0.00,0.00
400165.00,LEARN - MIDDLE,242.00,0.00,235.00,0.00,1.00,6.00,0.00,0.00,0.00,0.00
400167.00,HORIZON - SOUTHWEST,559.00,4.00,209.00,0.00,1.00,343.00,2.00,0.00,0.00,0.00
400168.00,GREAT LAKES,198.00,0.00,165.00,0.00,0.00,18.00,0.00,0.00,0.00,15.00
400169.00,NOBLE - ITW SPEER HS,683.00,9.00,99.00,0.00,2.00,545.00,3.00,2.00,1.00,22.00
400170.00,NOBLE - ACADEMY HS,245.00,9.00,97.00,0.00,1.00,118.00,4.00,9.00,0.00,7.00
400171.00,FOUNDATIONS,163.00,0.00,159.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
400172.00,ASPIRA - BUSINESS & FINANCE HS,165.00,3.00,5.00,0.00,0.00,155.00,1.00,1.00,0.00,0.00
400173.00,PATHWAYS - BRIGHTON PARK HS,284.00,12.00,17.00,0.00,1.00,252.00,0.00,2.00,0.00,0.00
400175.00,CAMELOT - EXCEL WOODLAWN HS,254.00,1.00,245.00,0.00,0.00,7.00,1.00,0.00,0.00,0.00
400176.00,CAMELOT - EXCEL SOUTHWEST HS,197.00,0.00,175.00,0.00,0.00,11.00,3.00,0.00,0.00,8.00
400177.00,KIPP CHICAGO - ASCEND PRIMARY,208.00,2.00,195.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00
400178.00,MOVING EVEREST,175.00,0.00,163.00,0.00,0.00,5.00,2.00,0.00,0.00,5.00
609674.00,CHICAGO VOCATIONAL HS,978.00,0.00,956.00,0.00,2.00,15.00,4.00,0.00,0.00,1.00
609676.00,DUNBAR HS,761.00,3.00,744.00,0.00,1.00,11.00,1.00,1.00,0.00,0.00
609678.00,JONES HS,1670.00,566.00,278.00,0.00,6.00,494.00,46.00,195.00,9.00,76.00
609679.00,PROSSER HS,1455.00,44.00,294.00,0.00,5.00,1096.00,10.00,6.00,0.00,0.00
609680.00,PAYTON HS,887.00,388.00,124.00,0.00,5.00,192.00,43.00,134.00,1.00,0.00
609682.00,RICHARDS HS,276.00,1.00,110.00,0.00,0.00,158.00,1.00,0.00,0.00,6.00
609691.00,NORTH-GRAND HS,978.00,5.00,121.00,0.00,4.00,843.00,3.00,2.00,0.00,0.00
609692.00,SIMEON HS,1363.00,2.00,1332.00,0.00,1.00,8.00,14.00,0.00,1.00,5.00
609693.00,WESTINGHOUSE HS,1176.00,27.00,623.00,0.00,2.00,443.00,10.00,68.00,1.00,2.00
609694.00,HANCOCK HS,905.00,18.00,11.00,0.00,5.00,861.00,3.00,7.00,0.00,0.00
609695.00,AMUNDSEN HS,1141.00,123.00,127.00,0.00,11.00,677.00,21.00,176.00,5.00,1.00
609698.00,BOGAN HS,856.00,10.00,432.00,0.00,0.00,408.00,5.00,1.00,0.00,0.00
609704.00,FARRAGUT HS,916.00,6.00,109.00,0.00,2.00,798.00,0.00,0.00,0.00,1.00
609705.00,FENGER HS,271.00,1.00,265.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00
609707.00,ROBESON HS,204.00,0.00,203.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
609708.00,FOREMAN HS,1045.00,34.00,178.00,0.00,4.00,815.00,4.00,8.00,1.00,1.00
609709.00,GAGE PARK HS,406.00,4.00,189.00,0.00,2.00,206.00,1.00,1.00,1.00,2.00
609710.00,HARLAN HS,613.00,0.00,606.00,0.00,0.00,4.00,2.00,0.00,0.00,1.00
609711.00,HARPER HS,253.00,0.00,244.00,0.00,0.00,7.00,1.00,0.00,0.00,1.00
609712.00,HIRSCH HS,150.00,1.00,145.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
609713.00,HYDE PARK HS,807.00,0.00,796.00,0.00,1.00,7.00,3.00,0.00,0.00,0.00
609715.00,KELLY HS,2248.00,43.00,69.00,0.00,3.00,1816.00,3.00,311.00,2.00,1.00
609716.00,KELVYN PARK HS,711.00,12.00,48.00,0.00,4.00,637.00,1.00,4.00,0.00,5.00
609718.00,KENNEDY HS,1629.00,409.00,61.00,0.00,6.00,1133.00,5.00,11.00,4.00,0.00
609719.00,LAKE VIEW HS,1289.00,161.00,163.00,0.00,6.00,882.00,26.00,49.00,2.00,0.00
609720.00,LANE TECH HS,4055.00,1408.00,344.00,0.00,19.00,1723.00,109.00,441.00,11.00,0.00
609722.00,MANLEY HS,248.00,1.00,235.00,0.00,0.00,9.00,1.00,0.00,0.00,2.00
609723.00,MARSHALL HS,425.00,0.00,416.00,0.00,1.00,6.00,2.00,0.00,0.00,0.00
609724.00,MATHER HS,1576.00,334.00,183.00,0.00,8.00,571.00,26.00,453.00,1.00,0.00
609725.00,MORGAN PARK HS,1431.00,12.00,1385.00,0.00,1.00,20.00,12.00,0.00,1.00,0.00
609726.00,BROOKS HS,836.00,4.00,687.00,0.00,1.00,128.00,9.00,2.00,0.00,5.00
609727.00,PHILLIPS HS,643.00,2.00,627.00,0.00,0.00,7.00,4.00,2.00,1.00,0.00
609728.00,ROOSEVELT HS,1182.00,59.00,150.00,0.00,5.00,868.00,7.00,87.00,3.00,3.00
609729.00,SCHURZ HS,2002.00,114.00,191.00,0.00,10.00,1624.00,20.00,28.00,2.00,13.00
609730.00,SENN HS,1365.00,135.00,380.00,1.00,5.00,584.00,38.00,203.00,18.00,1.00
609732.00,STEINMETZ HS,1545.00,137.00,220.00,0.00,12.00,1129.00,12.00,33.00,1.00,1.00
609733.00,SULLIVAN HS,563.00,22.00,225.00,0.00,3.00,227.00,11.00,74.00,1.00,0.00
