School ID,Education Units,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
610254,DVORAK TECH ACAD,472,0,464,0,0,6,2,0,0,0
610256,ROBINSON,141,1,139,0,0,1,0,0,0,0
610257,MORTON,404,6,375,0,1,22,0,0,0,0
610263,DULLES,778,4,757,0,0,10,3,1,1,2
610268,ASHE,362,0,354,0,0,5,1,0,0,2
610269,MCCUTCHEON,470,22,206,0,1,136,13,91,1,0
610271,JENSEN,477,0,460,0,1,15,1,0,0,0
610274,JOHNSON,396,0,391,0,0,3,0,0,1,1
610276,MOLLISON,466,0,464,0,0,2,0,0,0,0
610279,TANNER,402,0,395,0,0,6,1,0,0,0
610281,POWELL,575,0,561,0,0,12,1,1,0,0
610282,MCNAIR,385,2,349,0,1,29,4,0,0,0
610284,NEW FIELD,607,47,152,0,4,331,11,57,1,4
610287,ASHBURN,456,2,374,0,0,74,6,0,0,0
610290,MAYS,483,0,473,0,0,8,1,0,1,0
610291,LEE,885,18,7,0,2,856,0,2,0,0
610293,MELODY,608,0,597,0,0,9,0,0,1,1
610295,HIGGINS,338,0,331,0,0,5,2,0,0,0
610298,LENART,289,43,170,0,3,17,10,44,2,0
610299,KING ES,237,0,235,0,0,2,0,0,0,0
610300,WESTCOTT,381,0,370,0,1,8,2,0,0,0
610304,PHOENIX MILITARY HS,501,2,134,0,1,360,3,1,0,0
610305,LELAND,630,1,618,0,1,10,0,0,0,0
610308,RUDOLPH,110,9,46,0,0,47,3,3,1,1
610312,MCDOWELL,185,1,174,0,0,4,5,1,0,0
610313,DIEGO,770,22,164,0,3,559,3,11,2,6
610315,WHITE,178,0,177,0,0,1,0,0,0,0
610316,EARHART,247,0,241,0,0,3,3,0,0,0
610317,BRIGHTON PARK,526,6,5,0,2,507,2,4,0,0
610319,EVERGREEN,371,12,7,0,0,340,3,9,0,0
610321,"MARSHALL, T",108,4,5,0,1,90,4,2,1,1
610323,BOWEN HS,382,2,287,0,0,88,5,0,0,0
610325,LOGANDALE,846,20,48,0,1,764,5,5,3,0
610329,OROZCO,598,3,8,0,5,576,1,2,0,3
610334,RABY HS,488,0,469,0,0,17,0,0,2,0
610339,STAGG,558,0,551,0,0,3,2,2,0,0
610340,CHGO ACAD HS,526,120,82,0,2,287,8,25,1,1
610342,SABIN,604,9,99,0,7,477,4,6,0,2
610345,WOODSON,347,1,338,0,0,8,0,0,0,0
610347,CLAREMONT,503,2,445,0,0,52,0,0,4,0
610350,BLACK,469,0,459,0,0,5,0,0,0,5
610352,DURKIN PARK,635,37,68,0,2,524,4,0,0,0
610353,CALMECA,807,6,14,0,3,770,2,11,1,0
610354,NORTH RIVER,361,5,11,0,1,327,3,4,2,8
610355,COURTENAY,576,60,269,0,3,213,4,20,3,4
610357,SPRY HS,183,0,2,0,0,181,0,0,0,0
610362,EVERS,365,0,364,0,0,1,0,0,0,0
610363,DISNEY,"1,663",386,645,0,14,374,77,161,4,2
610364,DUBOIS,212,2,196,0,0,11,2,0,0,1
610366,WACKER,250,0,250,0,0,0,0,0,0,0
610367,DE PRIEST,739,0,714,0,0,17,6,2,0,0
610368,"HUGHES, L",549,2,532,0,0,12,2,0,1,0
610369,"JACKSON, M",359,0,356,0,0,2,1,0,0,0
610380,"WILLIAMS, D",290,1,274,0,0,4,2,1,0,8
610381,BRONZEVILLE HS,487,0,473,0,0,12,0,1,1,0
610383,GREATER LAWNDALE HS,326,1,35,0,1,288,1,0,0,0
610384,INFINITY HS,418,2,16,0,1,398,1,0,0,0
610385,MULTICULTURAL ACAD SCHOLARSHIP,276,2,37,0,3,226,0,0,0,8
610386,PEACE & EDUCATION HS,140,2,57,0,0,80,1,0,0,0
610389,ORR HS,458,1,394,0,0,63,0,0,0,0
610390,RICKOVER HS,553,50,57,0,4,413,6,23,0,0
610391,LINDBLOM HS,"1,175",23,827,0,3,290,9,18,2,3
610392,WORLD LANGUAGE HS,341,1,34,0,0,306,0,0,0,0
610394,UPLIFT HS,326,8,268,0,0,36,8,6,0,0
610396,TARKINGTON,"1,034",3,205,0,4,815,5,1,0,1
610402,DEVRY HS,196,14,64,0,1,104,2,9,2,0
610405,SUDER,419,64,266,0,1,52,12,24,0,0
610499,COLLINS HS,419,0,410,0,0,5,3,1,0,0
610501,AUSTIN POLY HS,165,0,161,0,0,2,1,0,0,1
610503,FRAZIER PROSPECTIVE,292,1,276,0,0,8,6,1,0,0
610504,THOMAS,176,10,3,0,0,156,2,4,0,1
610506,TEAM HS,378,0,371,0,1,5,0,0,0,1
610513,AIR FORCE HS,373,40,153,0,0,159,3,16,1,1
610515,DISNEY II,420,181,30,1,2,166,14,22,1,3
610518,VOISE HS,254,0,228,0,1,22,2,0,0,1
610520,LASALLE II,605,171,115,0,1,269,24,23,2,0
610521,"DAVIS, M",300,0,291,0,0,8,0,1,0,0
610523,EDISON PARK,493,352,5,0,1,106,1,27,1,0
610524,ALCOTT HS,274,29,68,0,2,162,4,5,1,3
610529,OGDEN HS,752,207,250,0,4,211,26,51,3,0
610530,SOUTHSHORE,486,0,473,0,0,7,5,1,0,0
610532,HERNANDEZ,943,7,22,0,4,908,2,0,0,0
610533,PRIETO,"1,039",11,33,0,1,990,1,1,0,2
610534,SKINNER NORTH,418,172,60,0,1,51,26,105,3,0
610539,CAMRAS,"1,032",73,18,0,7,910,5,18,1,0
610541,LORCA,903,39,11,0,3,840,4,6,0,0
610542,WEST RIDGE,738,250,42,0,3,180,11,247,5,0
610543,SOLORIO HS,"1,083",15,49,0,8,"1,010",1,0,0,0
610544,AZUELA,970,23,10,0,4,927,2,3,0,1
610547,SOUTH SHORE INTL HS,669,1,637,0,0,19,5,1,2,4
610548,STEM ES,392,71,120,0,0,110,8,79,4,0
610555,BANNER ACADEMY WEST HS,301,1,279,0,0,13,7,0,1,0
610557,PATHWAYS EDUCATION HS,298,15,98,0,1,183,0,1,0,0
610558,GOODE ACAD HS,645,5,387,0,3,233,9,2,0,6
610559,SHIELDS MIDDLE,706,9,4,0,6,683,0,2,2,0
610561,RICHARD T CRANE HS,338,2,238,0,0,87,1,4,0,6
610563,BACK OF THE YARDS HS,550,11,24,0,1,481,0,33,0,0
610564,DISNEY II MAGNET HS,493,109,105,3,5,242,9,14,3,3
610565,EXCEL ACADAMY-ENGLEWOOD HS,340,0,333,0,0,4,3,0,0,0
610566,MAGIC JOHNSON ACADEMY-NORTH LAWNDALE HS,200,0,193,0,0,7,0,0,0,0
610567,MAGIC JOHNSON ACADEMY-SOUTH SHORE HS,200,0,191,0,0,4,0,0,0,5
610568,PATHWAYS EDUCATION-AVONDALE HS,307,20,41,0,0,238,2,4,0,2
610569,OMBUDSMAN_1,145,58,18,0,2,60,0,5,1,1
610570,OMBUDSMAN_2,167,2,112,0,1,52,0,0,0,0
610571,OMBUDSMAN_3,401,5,334,0,0,62,0,0,0,0
610572,CAMELOT SAFE ACADEMY ES,27,0,27,0,0,0,0,0,0,0
610573,CAMELOT SAFE ACADEMY HS,21,0,19,0,0,2,0,0,0,0
610574,WINNIE MANDELA HS,150,2,135,0,0,12,0,0,0,1
610580,MAGIC JOHNSON - HUMBOLDT PARK,95,1,60,0,1,31,0,0,0,2
610582,MAGIC JOHNSON - ENGLEWOOD,200,0,194,0,0,6,0,0,0,0
,,,,,,,,,,,
